日期,月,日,號,室,月份如適用,摘要,收入/支出,金額,備註, 運算 
1/22/25,1,22,149,3A,1月,租金,收入,4600,," 4,600 "
1/22/25,1,22,149,3A,1月,住戶電費,收入,720,, 720 
1/23/25,1,23,2,1A,,維修費,支出,2600,浴室門置換," (2,600)"
1/23/25,1,23,6,2D,,維修費,支出,500,電燈, (500)
1/23/25,1,23,2,4E,1月,租金,收入,4500,," 4,500 "
1/23/25,1,23,2,4E,1月,住戶電費,收入,870,, 870 
1/23/25,1,23,6,2B,1月,租金,收入,4500,," 4,500 "
1/25/25,1,25,,,,管理員獎金,支出,30000,年終獎金," (30,000)"
1/25/25,1,25,147,4A,1月,租金,收入,5000,," 5,000 "
1/25/25,1,25,147,4A,1月,住戶電費,收入,1230,," 1,230 "
1/25/25,1,25,2,3C,1月,租金,收入,4500,," 4,500 "
1/25/25,1,25,2,3C,1月,住戶電費,收入,800,, 800 
1/25/25,1,25,149,4B,1月,住戶電費,收入,810,, 810 
1/25/25,1,25,147,5A,1月,租金,收入,4200,," 4,200 "
1/25/25,1,25,147,5A,1月,住戶電費,收入,600,, 600 
1/25/24,1,25,147,5A,12月,租金,收入,4200,," 4,200 "
1/28/25,1,28,6,2C,1月,租金,收入,3300,," 3,300 "
1/28/25,1,28,6,2C,1月,住戶電費,收入,1655,," 1,655 "
1/28/24,1,28,6,2F,12月,租金,收入,4000,," 4,000 "
1/28/24,1,28,6,2F,12月,住戶電費,收入,450,, 450 
1/28/25,1,28,,,,其他,支出,600,拜地基主, (600)
1/28/25,1,28,6,3B,1月,租金,收入,4500,," 4,500 "
1/28/25,1,28,6,3B,1月,住戶電費,收入,690,, 690 
1/28/25,1,28,6,1E,1月,租金,收入,4300,," 4,300 "
1/28/25,1,28,6,1E,1月,住戶電費,收入,360,, 360 
1/28/25,1,28,2,5D,1月,租金,收入,4300,," 4,300 "
1/28/25,1,28,2,5D,1月,住戶電費,收入,1210,," 1,210 "
1/28/24,1,28,6,4A,12月,租金,收入,4000,," 4,000 "
1/28/24,1,28,6,4A,12月,住戶電費,收入,600,, 600 
1/28/25,1,28,6,4A,1月,租金,收入,4000,," 4,000 "
1/28/25,1,28,6,4A,1月,住戶電費,收入,820,, 820 
1/28/24,1,28,147,5B,11月,住戶電費,收入,900,, 900 
1/28/24,1,28,147,5B,12月,住戶電費,收入,650,, 650 
1/28/25,1,28,147,5B,1月,住戶電費,收入,600,, 600 
1/28/24,1,28,6,4E,12月,住戶電費,收入,275,, 275 
1/28/25,1,28,6,4E,1月,住戶電費,收入,250,, 250 
2/2/25,2,2,2,2E,,押金,收入,9000,," 9,000 "
2/2/25,2,2,2,2E,2月,租金,收入,4500,," 4,500 "
2/3/25,2,3,,,,匯馬玲帳戶,支出,50000,," (50,000)"
2/3/25,2,3,149,5B,2月,租金,收入,4000,," 4,000 "
2/3/25,2,3,149,5B,2月,住戶電費,收入,2010,," 2,010 "
2/3/25,2,3,2,5D,2月,租金,收入,4300,," 4,300 "
2/3/25,2,3,2,5D,2月,住戶電費,收入,1490,," 1,490 "
2/4/25,2,4,2,3A,2月,租金,收入,4000,," 4,000 "
2/4/25,2,4,2,3A,2月,住戶電費,收入,600,, 600 
2/4/25,2,4,147,,2月,租金,收入,9000,一樓店面," 9,000 "
2/4/25,2,4,149,3B,2月,租金,收入,4700,," 4,700 "
2/4/25,2,4,149,3B,2月,住戶電費,收入,830,, 830 
2/4/25,2,4,6,5F,2月,租金,收入,4000,," 4,000 "
2/4/25,2,4,6,5F,2月,住戶電費,收入,340,, 340 
2/5/25,2,5,2,3D,2月,租金,收入,4200,," 4,200 "
2/5/25,2,5,2,3D,2月,住戶電費,收入,950,, 950 
2/5/25,2,5,,,,匯馬玲帳戶,支出,50000,," (50,000)"
2/5/25,2,5,2,4D,2月,租金,收入,4300,," 4,300 "
2/5/25,2,5,2,4D,2月,住戶電費,收入,960,, 960 
2/6/25,2,6,6,2A,,退押金,支出,9000,退租," (9,000)"
2/6/25,2,6,6,2A,2月,住戶電費,收入,330,退租, 330 
2/6/25,2,6,6,4E,2月,租金,收入,12000,2/6王建呈季繳2-4月," 12,000 "
2/6/25,2,6,6,3F,2月,租金,收入,4300,," 4,300 "
2/6/25,2,6,6,3F,2月,住戶電費,收入,810,, 810 
2/6/25,2,6,6,4E,2月,住戶電費,收入,190,, 190 
2/6/25,2,6,149,,2月,大樓電費支出,支出,380,, (380)
2/6/25,2,6,,,2月,稅,支出,1200,米范工作室," (1,200)"
2/6/25,2,6,6,2E,2月,租金,收入,4300,," 4,300 "
2/6/25,2,6,6,2E,2月,住戶電費,收入,930,, 930 
2/6/25,2,6,147,4B,2月,租金,收入,5000,," 5,000 "
2/6/25,2,6,147,4B,2月,住戶電費,收入,950,, 950 
2/7/25,2,7,2,2E,,新設備,支出,4000,衣櫥," (4,000)"
2/7/25,2,7,2,1D,2月,租金,收入,4200,," 4,200 "
2/7/25,2,7,2,1D,2月,住戶電費,收入,690,, 690 
2/7/25,2,7,2,1A,2月,租金,收入,4000,," 4,000 "
2/7/25,2,7,2,1A,2月,住戶電費,收入,270,, 270 
2/7/25,2,7,2,3E,2月,租金,收入,4200,," 4,200 "
2/7/25,2,7,2,3E,2月,住戶電費,收入,1170,," 1,170 "
2/8/25,2,8,149,4A,,退押金,支出,10000,退租," (10,000)"
2/8/25,2,8,149,4A,2月,住戶電費,收入,1090,退租," 1,090 "
2/8/25,2,8,149,4A,,住戶電費,收入,200,退租2/1--2/8, 200 
2/8/25,2,8,2,4A,2月,租金,收入,4200,," 4,200 "
2/8/25,2,8,2,4A,2月,住戶電費,收入,510,, 510 
2/8/25,2,8,6,5D,2月,住戶電費,收入,550,, 550 
2/9/25,2,9,,,1月,管理員薪水,支出,28000,," (28,000)"
2/9/25,2,9,2,4B,2月,租金,收入,4000,," 4,000 "
2/9/25,2,9,2,4B,2月,住戶電費,收入,300,, 300 
2/9/25,2,9,149,2A,2月,租金,收入,4000,," 4,000 "
2/9/25,2,9,149,2A,2月,住戶電費,收入,540,, 540 
2/9/25,2,9,147,3A,2月,租金,收入,5000,," 5,000 "
2/9/25,2,9,147,3A,2月,住戶電費,收入,630,, 630 
2/10/25,2,10,6,1C,2月,租金,收入,3300,," 3,300 "
2/10/25,2,10,6,1C,2月,住戶電費,收入,540,, 540 
2/10/25,2,10,6,1D,2月,租金,收入,4200,," 4,200 "
2/10/25,2,10,6,1D,2月,住戶電費,收入,900,, 900 
2/10/25,2,10,149,2B,2月,租金,收入,4600,," 4,600 "
2/10/25,2,10,149,2B,2月,住戶電費,收入,1090,," 1,090 "
2/11/25,2,11,,,,管理員獎金,支出,8000,空房獎金," (8,000)"
2/11/25,2,11,2,5E,2月,租金,收入,4500,," 4,500 "
2/11/25,2,11,2,5E,2月,住戶電費,收入,430,, 430 
2/11/25,2,11,2,2A,2月,租金,收入,4000,," 4,000 "
2/11/25,2,11,2,2A,2月,住戶電費,收入,490,, 490 
2/13/25,2,13,2,2D,2月,租金,收入,4500,," 4,500 "
2/13/25,2,13,2,2D,2月,住戶電費,收入,440,, 440 
2/13/25,2,13,,,,其他,支出,90,匯費1/9.14.22, (90)
2/13/25,2,13,2,5C,2月,退押金,支出,9000,退租," (9,000)"
2/13/25,2,13,2,5C,2月,住戶電費,收入,2660,退租," 2,660 "
2/13/25,2,13,2,5C,,住戶電費,收入,700,退租2/1--2/11, 700 
2/13/25,2,13,147,5A,2月,租金,收入,4200,," 4,200 "
3/13/25,3,13,147,5A,2月,住戶電費,收入,380,, 380 
2/14/25,2,14,149,5A,2月,租金,收入,4000,," 4,000 "
2/14/25,2,14,149,5A,2月,住戶電費,收入,790,, 790 
2/14/25,2,14,2,5C,,押金,收入,9000,," 9,000 "
2/14/25,2,14,2,5C,2月,租金,收入,4500,," 4,500 "
2/14/25,2,14,2,1C,2月,租金,收入,4200,," 4,200 "
2/14/25,2,14,2,1C,2月,住戶電費,收入,1220,," 1,220 "
2/14/25,2,14,,,,匯馬玲帳戶,支出,50000,," (50,000)"
2/15/25,2,15,147,2A,2月,住戶電費,收入,120,, 120 
2/15/25,2,15,2,3B,2月,租金,收入,4200,," 4,200 "
2/15/25,2,15,2,3B,2月,住戶電費,收入,270,, 270 
2/17/25,2,17,6,4C,2月,租金,收入,3300,," 3,300 "
2/17/25,2,17,6,4C,2月,住戶電費,收入,1325,," 1,325 "
2/17/25,2,17,,,,其他,支出,200,, (200)
2/18/25,2,18,149,3A,2月,租金,收入,4600,," 4,600 "
2/18/25,2,18,149,3A,2月,住戶電費,收入,780,, 780 
2/18/25,2,18,2,4C,2月,租金,收入,4200,," 4,200 "
2/18/25,2,18,2,4C,2月,住戶電費,收入,2050,," 2,050 "
2/19/25,2,19,2,4E,2月,租金,收入,4500,," 4,500 "
2/19/25,2,19,2,4E,2月,住戶電費,收入,1070,," 1,070 "
2/19/25,2,19,149,2C,2月,租金,收入,4700,," 4,700 "
2/19/25,2,19,149,2C,2月,住戶電費,收入,30,, 30 
2/19/25,2,19,6,1E,2月,租金,收入,4300,," 4,300 "
2/19/25,2,19,6,1E,2月,住戶電費,收入,310,, 310 
2/20/25,2,20,,,,匯馬玲帳戶,支出,50000,," (50,000)"
2/20/25,2,20,6,1B,2月,租金,收入,4500,," 4,500 "
2/20/25,2,20,6,1B,2月,住戶電費,收入,440,, 440 
2/20/25,2,20,6,4F,2月,租金,收入,4300,," 4,300 "
2/20/25,2,20,6,4F,2月,住戶電費,收入,420,, 420 
2/21/25,2,21,6,1A,2月,租金,收入,4500,," 4,500 "
2/21/25,2,21,6,1A,2月,住戶電費,收入,300,, 300 
2/24/25,2,24,149,2A,,其他,支出,400,浴室鎖更換, (400)
2/25/25,2,25,6,3B,2月,租金,收入,4500,," 4,500 "
2/25/25,2,25,6,3B,2月,住戶電費,收入,570,, 570 
2/26/25,2,26,6,4A,2月,租金,收入,4000,," 4,000 "
2/26/25,2,26,6,4A,2月,住戶電費,收入,1100,," 1,100 "
2/26/25,2,26,6,2B,2月,租金,收入,4500,," 4,500 "
2/26/25,2,26,6,2B,2月,住戶電費,收入,1320,," 1,320 "
2/26/25,2,26,6,2B,1月,住戶電費,收入,1020,," 1,020 "
2/27/25,2,27,2,3C,2月,租金,收入,4500,," 4,500 "
2/27/25,2,27,2,3C,2月,住戶電費,收入,990,, 990 
2/27/25,2,27,6,2C,2月,租金,收入,3300,," 3,300 "
2/27/25,2,27,6,2C,2月,住戶電費,收入,2270,," 2,270 "
2/27/25,2,27,,,,匯馬玲帳戶,支出,50000,," (50,000)"
2/27/25,2,27,147,3B,2月,租金,收入,5000,," 5,000 "
2/27/25,2,27,147,3B,2月,住戶電費,收入,2620,," 2,620 "
2/27/25,2,27,2,5A,2月,租金,收入,4000,," 4,000 "
2/27/25,2,27,2,5A,2月,住戶電費,收入,360,, 360 
2/27/25,2,27,6,,,其他,支出,450,偵煙器電池更換, (450)
2/28/25,2,28,2,4A,,退押金,支出,8400,退租," (8,400)"
2/28/25,2,28,2,4A,,住戶電費,收入,450,退租2/1--2/28, 450 
2/28/25,2,28,2,4D,,退押金,支出,8600,退租," (8,600)"
2/28/25,2,28,2,4D,2月,住戶電費,收入,635,退租2/1--2/28, 635 
2/28/25,2,28,149,4B,2月,住戶電費,收入,810,, 810 
2/28/25,2,28,2,5B,2月,租金,收入,4500,," 4,500 "
2/28/25,2,28,2,5B,2月,,收入,300,, 300 
2/28/25,2,28,147,4A,2月,租金,收入,5000,," 5,000 "
2/28/25,2,28,147,4A,2月,住戶電費,收入,1220,," 1,220 "
2/28/25,2,28,6,3D,,介紹費,支出,2000,," (2,000)"
3/3/25,3,3,147,,3月,租金,收入,9000,1樓店面," 9,000 "
3/3/25,3,3,6,5F,3月,租金,收入,4200,," 4,200 "
3/3/25,3,3,6,5F,3月,住戶電費,收入,270,, 270 
3/3/25,3,3,147,3A,3月,租金,收入,5000,," 5,000 "
3/3/25,3,3,147,3A,3月,住戶電費,收入,710,, 710 
3/3/25,3,3,6,5F,,維修費,支出,300,洗面盆阻塞, (300)
3/3/25,3,3,149,4B,3月,住戶電費,收入,830,, 830 
3/3/25,3,3,149,5B,3月,租金,收入,4200,," 4,200 "
3/3/25,3,3,149,5B,3月,住戶電費,收入,1350,," 1,350 "
3/4/25,3,4,6,2E,3月,租金,收入,4500,," 4,500 "
3/4/25,3,4,6,2E,3月,住戶電費,收入,760,, 760 
3/4/25,3,4,2,4D,,新設備,支出,14500,床組," (14,500)"
3/4/25,3,4,2,4A,,維修費,支出,4000,房間粉刷," (4,000)"
3/4/25,3,4,149,,,新設備,支出,26250,飲水機," (26,250)"
3/4/25,3,4,2,3D,3月,租金,收入,4300,," 4,300 "
3/4/25,3,4,2,3D,3月,住戶電費,收入,490,, 490 
3/6/25,3,6,2,1A,3月,租金,收入,4200,," 4,200 "
3/6/25,3,6,2,1A,3月,住戶電費,收入,300,, 300 
3/7/25,3,7,2,2E,3月,租金,收入,4500,," 4,500 "
3/7/25,3,7,2,2E,3月,住戶電費,收入,630,, 630 
3/8/25,3,8,2,3A,3月,租金,收入,4200,," 4,200 "
3/8/25,3,8,2,3A,3月,住戶電費,收入,660,, 660 
3/8/25,3,8,2,2E,,介紹費,支出,2000,," (2,000)"
3/8/25,3,8,2,5B,,介紹費,支出,2000,," (2,000)"
3/8/25,3,8,6,3C,,維修費,支出,2500,熱水爐維修," (2,500)"
3/8/25,3,8,6,5D,,租金,收入,44000,年繳3-2月," 44,000 "
3/8/25,3,8,6,5D,3月,住戶電費,收入,600,, 600 
3/8/25,3,8,149,3B,3月,租金,收入,5000,," 5,000 "
3/8/25,3,8,149,3B,3月,住戶電費,收入,840,, 840 
3/10/25,3,10,6,4F,3月,租金,收入,4500,," 4,500 "
3/10/25,3,10,6,4F,3月,住戶電費,收入,120,, 120 
3/10/25,3,10,,,2月,管理員薪水,支出,28000,," (28,000)"
3/10/25,3,10,,,,日常用品,支出,90,影印契約書, (90)
3/10/25,3,10,6,3F,3月,租金,收入,4500,," 4,500 "
3/10/25,3,10,6,3F,3月,住戶電費,收入,610,, 610 
3/10/25,3,10,6,1C,3月,租金,收入,3500,," 3,500 "
3/10/25,3,10,6,1C,3月,住戶電費,收入,420,, 420 
3/10/25,3,10,2,2A,3月,租金,收入,4200,," 4,200 "
3/10/25,3,10,2,2A,3月,住戶電費,收入,420,, 420 
3/10/25,3,10,149,5A,3月,租金,收入,4200,," 4,200 "
3/10/25,3,10,149,5A,3月,住戶電費,收入,650,, 650 
3/10/25,3,10,,,,匯馬玲帳戶,支出,50000,," (50,000)"
3/10/25,3,10,147,3B,3月,租金,收入,5000,," 5,000 "
3/10/25,3,10,147,3B,3月,住戶電費,收入,1280,," 1,280 "
3/10/25,3,10,2,5E,3月,租金,收入,4500,," 4,500 "
3/10/25,3,10,2,5E,3月,住戶電費,收入,335,, 335 
3/10/25,3,10,149,2B,3月,租金,收入,4800,," 4,800 "
3/10/25,3,10,149,2B,3月,住戶電費,收入,1300,," 1,300 "
3/11/25,3,11,,,,管理員獎金,支出,8000,空房獎金," (8,000)"
3/12/25,3,12,2,3E,3月,租金,收入,4300,," 4,300 "
3/12/25,3,12,2,3E,3月,住戶電費,收入,960,, 960 
3/12/25,3,12,2,1C,3月,租金,收入,4500,," 4,500 "
3/12/25,3,12,2,1C,3月,住戶電費,收入,560,, 560 
3/12/25,3,12,6,1D,3月,租金,收入,4500,," 4,500 "
3/12/25,3,12,6,1D,3月,住戶電費,收入,630,, 630 
3/12/25,3,12,2,1D,3月,租金,收入,4500,," 4,500 "
3/12/25,3,12,2,1D,3月,住戶電費,收入,570,, 570 
3/15/25,3,15,149,2A,3月,租金,收入,4200,," 4,200 "
3/15/25,3,15,149,2A,3月,住戶電費,收入,620,, 620 
3/15/25,3,15,2,4B,3月,租金,收入,4200,," 4,200 "
3/15/25,3,15,2,4B,3月,住戶電費,收入,240,, 240 
3/15/25,3,15,147,2A,3月,住戶電費,收入,150,, 150 
3/17/25,3,17,,,,其他,支出,6000,清洗水塔*6個," (6,000)"
3/17/25,3,17,149,3A,3月,租金,收入,5000,," 5,000 "
3/17/25,3,17,149,3A,3月,住戶電費,收入,600,, 600 
3/17/25,3,17,2,4A,3月,租金,收入,4500,," 4,500 "
3/17/25,3,17,6,4C,3月,住戶電費,收入,1080,," 1,080 "
3/18/25,3,18,2,4E,3月,租金,收入,4500,," 4,500 "
3/18/25,3,18,2,4E,3月,住戶電費,收入,600,, 600 
3/18/25,3,18,,,,,支出,150,"匯費2/3.5.14,20,27", (150)
3/18/25,3,18,6,1B,,維修費,支出,400,房間燈維修, (400)
3/19/25,3,19,149,2C,3月,租金,收入,4700,," 4,700 "
3/19/25,3,19,6,1B,3月,租金,收入,4500,," 4,500 "
3/19/25,3,19,6,1B,,押金,收入,9000,," 9,000 "
3/19/25,3,19,,,,匯馬玲帳戶,支出,50000,," (50,000)"
3/19/25,3,19,2,4c,3月,租金,收入,4300,," 4,300 "
3/19/25,3,19,2,4c,3月,住戶電費,收入,1070,," 1,070 "
3/19/25,3,19,6,4c,,維修費,支出,4000,房間粉刷," (4,000)"
3/20/25,3,20,2,3D,,水費,收入,600,1--3月, 600 
3/20/25,3,20,2,2D,3月,租金,收入,4500,," 4,500 "
3/20/25,3,20,2,2D,3月,住戶電費,收入,720,, 720 
3/21/25,3,21,2,5D,3月,租金,收入,4500,," 4,500 "
3/21/25,3,21,2,5D,3月,住戶電費,收入,1260,," 1,260 "
3/22/25,3,22,6,2C,3月,租金,收入,3500,," 3,500 "
3/22/25,3,22,6,2C,3月,住戶電費,收入,1530,," 1,530 "
3/22/25,3,22,6,2B,3月,租金,收入,4500,," 4,500 "
3/23/25,3,23,2,5C,3月,租金,收入,4500,," 4,500 "
3/23/25,3,23,2,5C,3月,住戶電費,收入,240,, 240 
3/23/25,3,23,147,5B,12月,租金,收入,4500,," 4,500 "
3/24/25,3,24,6,1A,3月,租金,收入,4500,," 4,500 "
3/24/25,3,24,6,1A,3月,住戶電費,收入,120,, 120 
3/24/25,3,24,2,1D,4月,租金,收入,4500,," 4,500 "
3/24/25,3,24,2,1D,,押金,收入,9000,," 9,000 "
3/25/25,3,25,,,,匯馬玲帳戶,支出,50000,," (50,000)"
3/25/25,3,25,2,5C,,介紹費,支出,2000,," (2,000)"
3/25/25,3,25,6,1E,3月,租金,收入,4500,," 4,500 "
3/25/25,3,25,6,1E,3月,住戶電費,收入,420,, 420 
3/25/25,3,25,147,5A,3月,租金,收入,4500,," 4,500 "
3/25/25,3,25,147,5A,3月,住戶電費,收入,300,, 300 
3/25/25,3,25,147,4B,3月,租金,收入,5000,," 5,000 "
3/25/25,3,25,147,4B,3月,住戶電費,收入,770,, 770 
3/26/25,3,26,2,1D,,退押金,支出,9000,退租," (9,000)"
3/26/25,3,26,2,1D,,住戶電費,收入,585,退租3/1/--3/25, 585 
3/26/25,3,26,2,3B,3月,租金,收入,4300,," 4,300 "
3/26/25,3,26,2,3B,3月,住戶電費,收入,210,, 210 
3/27/25,3,27,2,,,新設備,支出,6300,讀卡機," (6,300)"
3/28/25,3,28,6,3E,,維修費,支出,600,T5燈管維修, (600)
3/28/25,3,28,2,5A,3月,租金,收入,4000,," 4,000 "
3/28/25,3,28,2,5A,3月,住戶電費,收入,330,, 330 
3/28/25,3,28,2,4D,,押金,收入,9000,," 9,000 "
3/28/25,3,28,2,4D,3月,租金,收入,4500,," 4,500 "
3/29/25,3,29,2,3C,3月,租金,收入,4500,," 4,500 "
3/29/25,3,29,2,3C,3月,住戶電費,收入,900,, 900 
3/29/25,3,29,2,5B,3月,租金,收入,4500,," 4,500 "
3/29/25,3,29,2,5B,3月,住戶電費,收入,540,, 540 
3/29/25,3,29,147,3B,,新設備,支出,5300,床墊," (5,300)"
3/29/25,3,29,147,5B,2月,住戶電費,收入,670,, 670 
3/29/25,3,29,147,5B,3月,住戶電費,收入,600,, 600 
3/31/25,3,31,,,,匯馬玲帳戶,支出,50000,," (50,000)"
3/31/25,3,31,6,3B,3月,租金,收入,4500,," 4,500 "
3/31/25,3,31,6,3B,3月,住戶電費,收入,310,, 310 
3/31/25,3,31,6,4C,3月,租金,收入,3500,," 3,500 "
3/31/25,3,31,6,1B,3月,住戶電費,收入,120,, 120 
3/31/25,3,31,6,4C,,新設備,支出,2000,床架," (2,000)"
3/31/25,3,31,2,2C,3月,租金,收入,4000,," 4,000 "
3/31/25,3,31,2,2C,3月,住戶電費,收入,180,, 180 
3/31/25,3,31,2,2C,2月,住戶電費,收入,270,, 270 
3/31/25,3,31,2,2C,,退押金,支出,8000,退租," (8,000)"
3/31/25,3,31,6,4A,3月,租金,收入,4200,," 4,200 "
3/31/25,3,31,6,4A,3月,住戶電費,收入,1530,," 1,530 "
3/31/25,3,31,6,4A,,水費,收入,600,, 600 
4/1/25,4,1,6,2E,4月,租金,收入,4500,," 4,500 "
4/1/25,4,1,6,2E,4月,住戶電費,收入,680,, 680 
4/2/25,4,2,,,,其他,支出,750,拜地基主, (750)
4/3/25,4,3,149,5B,4月,租金,收入,4200,," 4,200 "
4/3/25,4,3,149,5B,4月,住戶電費,收入,1090,," 1,090 "
